costs,locs,techs,cost_om_prod
monetary,AA,CCGT_pp,0.0043
monetary,AA,GT_pp,0.0049
monetary,AA,HV_161:CP,0.00013156
monetary,AA,HV_161:EP,0.00013156
monetary,AA,HV_330:WP,0.000120348
monetary,AA,ICE_pp,0.004
monetary,AH,HV_161:BA,0.00013156
monetary,AH,HV_161:CP,0.00013156
monetary,AH,HV_161:EP,0.00013156
monetary,AH,HV_161:WP,0.00013156
monetary,BA,HV_161:AH,0.00013156
monetary,BA,HV_161:NP,0.00013156
monetary,BA,HV_161:WP,0.00013156
monetary,BA,Hydro_new,0.0005
monetary,CP,HV_161:AA,0.00013156
monetary,CP,HV_161:AH,0.00013156
monetary,CP,HV_161:WP,0.00013156
monetary,EP,HV_161:AA,0.00013156
monetary,EP,HV_161:AH,0.00013156
monetary,EP,HV_161:TV,0.00013156
monetary,EP,Hydro_old,0.0016
monetary,NP,HV_161:BA,0.00013156
monetary,NP,HV_161:UE,0.00013156
monetary,NP,HV_161:UW,0.00013156
monetary,TV,HV_161:EP,0.00013156
monetary,TV,Hydro_old,0.0016
monetary,UE,HV_161:NP,0.00013156
monetary,UE,HV_161:UW,0.00013156
monetary,UW,HV_161:NP,0.00013156
monetary,UW,HV_161:UE,0.00013156
monetary,WP,CCGT_pp,0.0043
monetary,WP,GT_pp,0.0049
monetary,WP,HV_161:AH,0.00013156
monetary,WP,HV_161:BA,0.00013156
monetary,WP,HV_161:CP,0.00013156
monetary,WP,HV_330:AA,0.000120348
