locs,techs,distance
AA,HV_161:CP,1.598
AA,HV_161:EP,4.663
AA,HV_330:WP,2.19
AH,HV_161:BA,1.15
AH,HV_161:CP,0.249
AH,HV_161:EP,2.567
AH,HV_161:WP,1.422
BA,HV_161:AH,1.15
BA,HV_161:NP,2.322
BA,HV_161:WP,0.86
CP,HV_161:AA,1.598
CP,HV_161:AH,0.249
CP,HV_161:WP,2.76
EP,HV_161:AA,4.663
EP,HV_161:AH,2.567
EP,HV_161:TV,1.094
NP,HV_161:BA,2.322
NP,HV_161:UE,1.581
NP,HV_161:UW,0.95
TV,HV_161:EP,1.094
UE,HV_161:NP,1.581
UE,HV_161:UW,1.096
UW,HV_161:NP,0.95
UW,HV_161:UE,1.096
WP,HV_161:AH,1.422
WP,HV_161:BA,0.86
WP,HV_161:CP,2.76
WP,HV_330:AA,2.19
