locs,techs,energy_cap_equals
AA,CCGT_pp,860000.0
AA,GT_pp,400000.0
AA,HV_161:CP,340000.0
AA,HV_161:EP,1611000.0
AA,HV_330:WP,1000000.0
AA,ICE_pp,845000.0
AH,HV_161:BA,364000.0
AH,HV_161:CP,170000.0
AH,HV_161:EP,778000.0
AH,HV_161:WP,728000.0
BA,HV_161:AH,364000.0
BA,HV_161:NP,728000.0
BA,HV_161:WP,364000.0
BA,Hydro_new,360000.0
CP,HV_161:AA,340000.0
CP,HV_161:AH,170000.0
CP,HV_161:WP,652000.0
CP,PV,40000.0
EP,HV_161:AA,1611000.0
EP,HV_161:AH,778000.0
EP,HV_161:TV,546000.0
EP,Hydro_old,900000.0
NP,HV_161:BA,728000.0
NP,HV_161:UE,244000.0
NP,HV_161:UW,182000.0
TV,HV_161:EP,546000.0
TV,Hydro_old,140000.0
UE,HV_161:NP,244000.0
UE,HV_161:UW,364000.0
UE,PV,2500.0
UW,HV_161:NP,182000.0
UW,HV_161:UE,364000.0
WP,CCGT_pp,620000.0
WP,GT_pp,230000.0
WP,HV_161:AH,728000.0
WP,HV_161:BA,364000.0
WP,HV_161:CP,652000.0
WP,HV_330:AA,1000000.0
