locs,techs,energy_con
AA,HV_161:CP,1.0
AA,HV_161:EP,1.0
AA,HV_330:WP,1.0
AA,demand_power,1.0
AH,HV_161:BA,1.0
AH,HV_161:CP,1.0
AH,HV_161:EP,1.0
AH,HV_161:WP,1.0
AH,demand_power,1.0
BA,HV_161:AH,1.0
BA,HV_161:NP,1.0
BA,HV_161:WP,1.0
BA,demand_power,1.0
CP,HV_161:AA,1.0
CP,HV_161:AH,1.0
CP,HV_161:WP,1.0
CP,demand_power,1.0
EP,HV_161:AA,1.0
EP,HV_161:AH,1.0
EP,HV_161:TV,1.0
EP,demand_power,1.0
NP,HV_161:BA,1.0
NP,HV_161:UE,1.0
NP,HV_161:UW,1.0
NP,demand_power,1.0
TV,HV_161:EP,1.0
TV,demand_power,1.0
UE,HV_161:NP,1.0
UE,HV_161:UW,1.0
UE,demand_power,1.0
UW,HV_161:NP,1.0
UW,HV_161:UE,1.0
UW,demand_power,1.0
WP,HV_161:AH,1.0
WP,HV_161:BA,1.0
WP,HV_161:CP,1.0
WP,HV_330:AA,1.0
WP,demand_power,1.0
