locs,techs,lookup_remotes
AA,HV_161:CP,CP::HV_161:AA
AA,HV_161:EP,EP::HV_161:AA
AA,HV_330:WP,WP::HV_330:AA
AH,HV_161:BA,BA::HV_161:AH
AH,HV_161:CP,CP::HV_161:AH
AH,HV_161:EP,EP::HV_161:AH
AH,HV_161:WP,WP::HV_161:AH
BA,HV_161:AH,AH::HV_161:BA
BA,HV_161:NP,NP::HV_161:BA
BA,HV_161:WP,WP::HV_161:BA
CP,HV_161:AA,AA::HV_161:CP
CP,HV_161:AH,AH::HV_161:CP
CP,HV_161:WP,WP::HV_161:CP
EP,HV_161:AA,AA::HV_161:EP
EP,HV_161:AH,AH::HV_161:EP
EP,HV_161:TV,TV::HV_161:EP
NP,HV_161:BA,BA::HV_161:NP
NP,HV_161:UE,UE::HV_161:NP
NP,HV_161:UW,UW::HV_161:NP
TV,HV_161:EP,EP::HV_161:TV
UE,HV_161:NP,NP::HV_161:UE
UE,HV_161:UW,UW::HV_161:UE
UW,HV_161:NP,NP::HV_161:UW
UW,HV_161:UE,UE::HV_161:UW
WP,HV_161:AH,AH::HV_161:WP
WP,HV_161:BA,BA::HV_161:WP
WP,HV_161:CP,CP::HV_161:WP
WP,HV_330:AA,AA::HV_330:WP
